pubDate,duration,title,guid
2025-09-01,00:17:34,"CYCLING WARS: TREK v. LEMOND — Who Gets to Tell the Story?",d96bc9cc-8a39-4d3f-adb4-443d6a9a151f
2025-08-30,00:14:39,"I Was Totally Wrong About Sportive Races (& Why You Should Do One)",cc21c10e-c0c5-4291-9b15-0864eb7e6f14
2025-08-27,00:47:36,"Strategy, Fuelling & Mindset To Achieve New FTK Records With Hannah Otto",20f6306d-1167-45a2-8ab1-3accd03369b7
2025-08-22,00:27:54,"Alex Wild - Leadville! The Craziest Race Of The Year",bd485f0f-923b-4443-ba07-0133370c6d6f
2025-08-19,00:16:44,"Bikepacking for Badlands: The Gear Test Ride With Sarah",b4cfa9c3-14cb-404f-a24d-c9c7d770b7b8
2025-08-18,01:30:19,"The Training Secrets That Separate Pros from Amateurs Stephen Barrett AG2R Decathlon",70a8f35e-faf3-4924-81ed-816b2ccbaf71
2025-08-16,00:49:41,"How to Keep Your VO₂ Max High After 40 With Andrew Talansky",234c99e3-d9ed-4acf-a7a1-1a9713b8ad4c
2025-08-15,00:52:33,"The 5 Things I Wish I Knew Before My Pro Career - Mads Würtz Schmidt",028da8ad-8f10-4e28-9fdc-382cb8977cc0
2025-08-08,00:53:08,"Rebecca Rusch - The Queen Of Pain & Legendary Bull Athlete",e31a497c-87d5-42c7-a342-b5a697e4a5a3
2025-08-06,00:52:53,"How to Train Smarter with Less Time With Joe Friel",335530fa-00cd-40d0-b427-87573ef18006
2025-07-30,00:25:04,"How Motorbikes Are Changing Cycling Race Results",22072298-0351-4cde-b025-b279792e484c
2025-07-16,00:16:11,"Ben Healy’s INSANE Fuelling Strategy Explained",6f1296b5-bbb7-4373-b132-35d294736a4d
2025-07-02,00:21:07,"The €8 Million Netflix Disaster Cyclists Hated",a23ed028-c8de-4aa5-b735-7c5fea825e94
2025-06-20,00:30:38,"The 5 Big Mistakes You Are Probably Making (Even As An Experienced Cyclist)",5801f847-4af7-4e73-a5d9-075464190615
2025-06-16,00:43:39,"You’re Training Too Hard (And It’s Slowing You Down) With Jayco Alula Coach Dr. Christian Schrot",d21944ce-fd81-48ff-ac36-5a1b7c2f3c04
2025-05-26,00:01:48,"Dame Kelly Holmes - Everything She Couldn't Say Then",9fe6ff92-216b-4766-963e-9ecc0411f355
2025-05-10,00:29:02,"Spent $15k on a Bike… Still Getting Dropped",c0270134-9e17-4b97-b291-d3fe76295df7
2025-05-05,00:40:10,"Keegan Swenson’s Strength Coach on Training Smart",894f2135-fdf5-45e0-bd87-40ae707df5f4
2025-04-28,00:09:11,"Why You’re Not Getting Faster (And What to Do About It)",94f72b11-3d6b-474b-9f95-d9bbe32c8b87
2025-04-14,01:48:25,"The Cost of Discipline: Burnout, Body Image & the Hustle Myth With Brian Keane",190f298f-e237-4c16-9d30-54a47b364c5a
2025-04-08,00:07:49,"Athlete 2.0 - Train Less, Live More",f52afb89-7d80-4bba-b895-5e3d91f6ec46
2025-03-26,00:54:24,"""If I Could Start Over"" - Double Olympic Gold Medalist Alistair Brownlee on His Biggest Lessons",f17da95b-5dee-4670-b0b8-0492228fecd1
2025-03-21,00:35:02,"Why Pogačar Looks Effortless—and How You Can Too",a02132d3-01ee-474e-8419-6f95dacbcdc7
2025-03-20,00:11:52,"Why Runners Excel at Cycling—and Where They Struggle",a0451939-0c2c-42c3-ada8-71168d322ee9
2025-03-12,01:10:53,"How Far Can An Amateur Go By Training Like A Pro With Anthony O'Brien",17384cc0-8803-4310-88e9-ec546027c1f8
2025-03-06,00:36:29,"Why Your Habits Fail – And How to Fix Them with Dr. Heather McKee",1f371b54-b4ea-4290-9c9f-44f3a8611501
2025-03-03,00:42:41,"The Six-Hour World Record and the Crash That Changed Everything With Ryan Collins",8ad3ce1d-6ab1-48d3-85dd-b6e5f3974644
2025-02-20,00:17:23,"When the Bike Isn't Everything: How to Find Balance",1de032e2-f291-40c8-a464-0a42d28ffc31
2025-02-07,00:37:52,"Why the Pros Are Ditching 175mm Cranks for 165mm With INEOS's Phil Burt",87d669a7-f2fe-4e9c-9b7c-689a9ce00e32
2025-01-20,00:44:10,"Why Nutrition Matters More Than Your Bike: Lessons from Pro Chef Alan Murchison",621ecd8c-4903-4c20-a9bb-fa0e2427badb
2025-01-15,00:48:18,"How To Build Mental Confidence for Endurance Athletes With Sport Psychologist Erin Ayala",59a1114c-092a-4f37-a0d1-4b85dc1ed728
2025-01-13,00:46:18,"Sustainable Weight Loss and Peak Performance with Sharon Madigan",cda7a542-4ba1-4b2f-ab70-19f07cc6ed9b
2025-01-06,00:41:44,"Inside the Lifetime Grand Prix: Kimo Seymour on 2024 Highlights and 2025’s Big Changes",101faed8-d03d-4ae3-9d3d-b65a4f06d94e
2025-01-04,00:36:38,"Balancing Work and Racing: Alex Wild's Breakthrough Life Time Grand Prix Season",83e51e56-a5d1-49a1-bf7a-11171295bd23
2025-01-02,00:22:04,"Has Colnago Lost Its Soul? Group Ride Efficiency & How to Slow Down (?!) Bikes",ac3a1a1a-ad8b-4e8c-ad0c-7d68b9b6a165
2024-12-30,00:47:38,"Inside Transcordilleras: Mauricio Ordoñez on Colombia’s Epic Gravel Bikepacking Race",855bf356-ef7d-46f6-8eb1-d115396229c5
2024-12-27,00:39:43,"The World’s Fastest Climber That You’ve Never Heard Of - Jack Burke",c9a9a76f-57f0-47f4-beff-27ee3a83414e
2024-12-20,00:31:22,"100 Best Gifts For Cyclists!",e02a1b14-ed14-46e2-af94-b6e9572abc5a
2024-12-14,00:35:24,"The Back Pain Fix: Proven Strategies for Cyclists with Dr. Stuart McGill",d20f5d5e-f0a1-45f9-b5c3-b41975db0fac
2024-12-07,00:16:16,"The Science of Recovery Rides: Unlocking Faster, Stronger Cycling",cade0fee-9828-4a54-95a4-282e37682ab6
2024-12-05,01:35:19,"Cross, Gravel, and Everything in Between: Jeremy Powers Talks Tyres, Training, and Tech",ee8bea52-6dc9-4c87-9269-14e671f95fba
2024-11-30,00:15:21,"Why Ordinary Cyclists Can Tackle Extraordinary Races",901b7446-5464-4bac-8661-0f6e18dcd85d
2024-11-26,00:31:03,"What Makes a Road Bike Cost More Than a Car? - Rider Support",309d9b73-3d07-4ad3-9bc4-828bed405998
2024-11-24,00:25:18,"Cycling Gear I Loved in 2024: My Must-Have Picks For Cyber Monday",82abc3f6-fda1-42c7-ad59-57cfa522cbec
2024-11-15,00:37:39,"Never Skip These Steps Before Starting Winter Base Training - Rider Suport",7587a23a-ab26-4899-ad7a-e1bcad15d634
2024-11-14,00:14:31,"Bike Shops vs. Online Retailers: The Battle for Cycling’s Soul",db7f5598-6fe4-4621-b5a2-b5770532844b
2024-11-13,00:50:59,"Scarcity Brain: Why We Crave More and How to Want Less With Michael Easter",ada2f613-1c02-4d5e-9e1e-bc87c6781567
2024-11-09,00:21:05,"Lactate Threshold Explained: A Cyclist’s Guide to Smarter Training",9900b200-7665-4861-b100-d31be80333a0
2024-11-02,00:14:54,"How the 2025 Tour de France Will Test Riders Like Never Before",0e43e141-ac51-4356-908d-e1cca678bd25
2024-10-31,00:14:05,"The Art of the Group Ride: Building Trust and Technique",cc4b117d-428f-443f-8d2f-4b5d4202b501
2024-10-29,00:17:40,"Training on Autopilot: Easy Habits for Consistent Cycling Success",2c51743b-c8ac-46f0-991e-29f4f02d5326
2024-10-21,00:41:34,"Training, Pacing, and Aero: John Archibald's Formula for TT Domination",ff7a5573-3ac1-4f56-98f8-1d87a70ff876
2024-10-18,00:31:28,"What Happens When You Cycle Every Day & Surprising Health Benefits -Rider Support",e249e1a5-e616-4ebc-85ac-12703fe286b7
2024-10-11,00:37:41,"How To Stay Safe On The Roads, Tips For Urban Cyclists - Rider Support",ec3a9426-be0b-44ea-8777-605071b1f390
2024-09-29,00:23:22,"A Battle for the Ages: The 2024 Worlds Men's Elite Race Breakdown",ea431459-993e-4a53-923b-bf960cb7c511
2024-09-27,00:35:25,"Lachlan Morton’s World Tour & Pogi’s Podcast: Cycling’s Big Questions",0a6150b5-e708-41f8-9e33-cbec5ef52f21
2024-09-24,00:43:48,"Beneath the Pink Jersey: Inside the World’s Most Beautiful Bike Race",80e5afbc-b723-4f74-a276-bcbb61b46b1f
2024-09-18,00:20:07,"Close Passes and Road Rage: Can Drivers and Cyclists Coexist?",cf99dd7e-0b34-49e4-ade4-8f6f182038bb
2024-09-12,00:14:59,"The Unbreakable Pull: Why Cycling Always Brings Me Back",72b5e17f-23c4-4846-8c29-ec534380698e
2024-09-10,00:47:33,"Redefining Human Potential With Sean Conway, Super Endurance Athlete",470e0475-8054-48e9-8711-d76ea5e8d2ba
2024-09-06,00:38:28,"How Hannah Otto Set the Fastest Known Time on the Kokopelli Trail",f2a745b0-309c-4ba0-8684-5adf104dc638
2024-09-02,00:42:22,"Mark Cavendish's Coach Vasilis Anastopoulos On His Tour de France Record",190da40c-4907-4d9f-9d00-1b212df461b1
2024-08-26,00:38:50,"Why Foot Health is the Missing Link in Your Training With Dr Courtney Conley",7ae696f2-b6e2-45a0-8492-b12754ae71d8
2024-08-15,00:40:32,"Lucas Clarke : Race Across America Record Breaker",acd8cf44-b71f-4422-80df-15371c9169da
2024-08-09,00:36:10,"Top 5 Things Top Coaches Agree You Should NEVER Do - Rider Support",87bfcd0b-bfa7-411b-8f0b-77a16a860cf8
2024-08-07,00:42:51,"From Leadville Wins to Fastest Known Times With Payson McElveen",a11cdca1-bb92-4091-b15f-ba5ed33a6995
2024-08-05,00:17:46,"Exploring Mark Cavendish’s Iconic Career - The Greatest Sprinter Of All Time",be268e08-c99a-4e51-9975-686802957e8b
2024-08-02,00:28:17,"The Cheap Magic Drink That Pro Riders Use To Boost Their Cycling Powers! - Rider Suport",798f3142-fcad-41e8-bb0d-1d95b8e27697
2024-07-29,00:46:55,"The Most In Demand Bike Of 2024 -Van Rysel with Jérémie Debeuf",74313cb9-426b-46fc-8b51-bf08c7db7b1e
2024-07-11,00:41:46,"Mastering Cycling on a Busy Schedule With Alex Wild",376a0f03-5ce1-44b9-92eb-f342ca5aa7a3
2024-07-03,00:42:24,"Behind the Stopwatch: Time Trialling With Andrea Parish",f598d2a1-b710-4842-a4a9-a80bf9596b27
2024-07-01,00:49:21,"Juggling Intense Training With Family & Work Obligations - Ted King",b597d33f-63bc-4c65-8913-0b3f7e2d5d4c
2024-06-24,00:43:06,"Triathlon Coach and Australian Ironman Champion - Gerard Donnelly",45e9770e-33fa-455e-b076-d767493ba4ab
2024-06-19,00:29:21,"Tour de France Trailblazer With Louise Vardeman",4bd03ab4-5386-4be5-a358-81be6f2e65cd
2024-06-14,00:40:26,"Dr. Kevin Stone on How to Prevent Injuries as You Age",dd4a656f-9861-4e7a-adc3-374f98cdb719
2024-06-03,00:50:37,"Inside Leigh Timmis' World Record Ride Across Europe",03dae9c4-0f99-4942-ae8a-040118577924
2024-05-31,00:38:24,"""Defeat Is Not An Option"" With Neuroscientist Dr.Scott Frey",8796d36c-29f3-4f13-b764-d893b0819cb2
2024-05-27,00:51:24,"Multi Grand Tour Stage & Classics Winner - Dan Martin",47797015-878a-47dd-af12-02e3bf9b49e7
2024-05-22,00:49:22,"No Excuses: Jack Kavanagh’s Guide to Resilience",d9ccaacf-287f-4ea0-94ee-e61239ceca2a
2024-05-15,00:40:05,"Training Tips from a Mountain Biking Maestro With Ned Overend",c2fb3aab-1272-48ee-8095-6a4b8325e7ba
2024-05-13,00:52:30,"Living Longer and Healthier with Dr. Howard Luks",3352b91f-098a-43a3-949a-1df15a6365eb
2024-05-08,00:37:27,"Champion and Advocate: Alison Tetrick’s Dedication to Cycling Equality",42fb2a80-8763-4b0e-8464-ee8902a13a64
2024-05-01,00:54:08,"How Everyday Toxins Affect Our Health With Ken Cook",6c9c814e-b2b1-4e46-b5aa-635f27b3454f
2024-04-24,00:32:10,"Cycling's Role in Veteran Rehabilitation With James Herrera",44602425-07f3-40e4-a06b-fd61e9f5384d
2024-04-17,00:51:06,"Total Fitness : Speed, Strength, and Sustainability With Iñaki de la Parra",e785829e-9c4c-42e8-a14d-43dd4de582b5
2024-04-15,00:57:32,"Balancing Weight Loss with Maintaining Muscle and Power - Uriell Carson",2c26dd85-c06f-4320-9c71-28f5ce595d6f
2024-04-12,00:26:24,"Mistakes Everyone Makes With their Training After 40 - Rider Support",27524eaf-8427-4667-8bcd-cd95f0c4ebb5
2024-04-09,01:03:09,"How To Become A Pro Cyclist With Jack Burke",fe4d646d-c5ff-4500-aad1-63ee8d52ba24
2024-04-02,00:46:28,"Valtteri Bottas - Speed On The Track & On The Trails",5f970f08-cfed-4327-ae40-331801809b20
2024-03-27,00:49:22,"Inside the Virtual Peloton and E-Racing with Zach Nehr",72c4d2e8-1bb2-44ee-bf59-caf236bef715
2024-03-20,00:57:35,"Convict to Champion: The John McAvoy Story of Redemption",8f0e5433-3693-4ae1-9810-8cf30f5fcebf
2024-03-13,01:16:41,"Secrets to a Stellar Physique- Trainer To The Stars Paul Byrne",752047af-1173-4454-b1c8-0f46a5a7458d
2024-03-06,00:38:59,"A Deep Dive into Anti-Aging Innovations WIth Dustin Baker",3db18c9a-8886-4dc5-972f-9e8c15b2966e
2024-02-28,00:40:19,"Gravel Racing is the New Road Racing with Kimo Seymour",49d6577d-a765-4df4-a5c4-6002018a5aef
2024-02-21,00:44:11,"XTERRA Triathlon World Champion and Oscar-nominated talent - Lesley Patterson",7ed0a868-f433-4b70-90df-0ddbf7364ebc
2024-02-14,00:39:42,"The Drive Within: Exploring Penny Mallory's Inspirational Legacy",2ae45c28-3fba-4f4c-94c2-1b25e3ec0920
2024-01-31,00:43:38,"Beyond Roads: Embracing the Virtual Worlds of Indoor Cycling With Matt Smithson",1c8c41f0-243e-476a-b1ed-41b9f0067d13
2024-01-29,00:47:57,"Artificial Intelligence & Its Influence On Sport Now & In The Future With Jordan Kobert",7aee62ee-47a9-48fd-b0bc-e006a767abb2
2024-01-26,00:11:47,"The Science of Happiness",3365bac2-ebdc-40a8-93ab-d0eb7f432692
2024-01-23,00:47:02,"The Passion & Controversies That Have Shaped American Cycling With Jamie Paolinetti",65fa74f8-1227-48a3-86cf-42ab8bd4eb23
2024-01-19,00:17:15,"Crush Your Goals This Year With This ONE Change",31e06fe7-fbb3-4097-ae11-7a009294a8fd
2024-01-17,00:45:15,"Triathletes CAN Self Coach! With Joe Friel",2fdbc4df-b8a2-4ae7-abc5-10f774638675
2024-01-12,00:37:19,"Is This The Worst Team Kit Ever? - Newbie Questions With Sarah",d0d552d3-70aa-4c1d-9722-f7f4b0b0602b
2024-01-10,00:31:47,"The Hot Trend in Wellness Explained - Cold Therapy With Joshua Church",6fb2b0ad-708c-4803-b31a-261432c9f9f2
2024-01-08,00:38:15,"An Unyielding Spirit With Bridget Bremner",71b46345-fdc5-485f-8bf0-9c99b66bbb0a
2024-01-04,00:55:29,"The African Racing Revolution With Tsgabu Grmay",64f49e67-3229-4a31-baa0-5659c721c251
2023-12-31,00:10:12,"3 Must-Do's for 2024",f380af04-d33e-470d-9af8-99b1125fe5b6
2023-12-30,00:17:55,"2024 Gravel Kit Survival Guide",d6f7050f-a6c8-47fc-886d-2de9e41ef378
2023-12-29,00:39:46,"End Of Year Wrap Up - Newbie Questions With Sarah",415c9243-ba45-4796-95a8-f583b3e6421a
2023-12-22,00:21:17,"How Do I Keep My Fitness Over Christmas? - Newbie Questions With Sarah",18b55021-9b4d-487e-a9b1-311193bc8ee6
2023-12-21,00:12:18,"The One Promise You MUST Keep (No Matter What)",080d8796-aa5a-4889-a4ff-8e184b484b39
2023-12-19,00:52:03,"Unveiling the Mind of a Warrior: Ed Veal's Relentless Pursuit of Excellence",027ea8c3-4022-4f15-abf3-110997e252f5
2023-12-18,00:07:16,"UCI's LATEST Controversial Decision",149d380b-3b3c-4a02-a375-9132959e7ec5
2023-12-16,00:14:02,"Why You Should Embrace Virtual Time Trialing",27e1f8a1-bbb1-454a-a7a8-d622fdf467ac
2023-12-13,00:08:13,"Transformations : The Art of Personal Change",3c922cc5-e5df-424d-aea7-d9878caf3fee
2023-12-12,00:47:42,"What It Takes To Win A Tour de France Stage With Matej Mohorič",f725f0c4-fdc1-4643-9e68-0e2e80fd9d2f
2023-12-11,00:09:14,"How To Navigate Setbacks & Injuries",b182c124-8d1b-4144-a0d4-5f7b319104d1
2023-12-09,00:12:02,"The Tough Questions Every Cyclist Should Ask Themselves",ac5f6f54-3f6b-47ac-b3b2-9c00cc023ddd
2023-12-06,00:08:00,"Calm in the Saddle: Embracing Stoicism for Mental Grit",2f61c4dc-7305-4fc2-b7cc-760487f13a6e
2023-12-05,00:52:50,"Zones, Altitudes, and Amateurs: A Triathlete's Guide with Josh Amberger",47c8f543-5954-46f7-8a9f-9498f1869225
2023-12-04,00:08:21,"The Importance of Mobility Exercises for Cyclists",e914bf1c-a36d-4522-b4e6-ab3c901f784a
2023-12-04,00:07:00,"The Running Edge in Cycling",ac9b2657-1568-4256-b14a-8b5d7d4c68dc
2023-12-02,00:14:18,"Ozempic: How One Medication Is Redefining Weight Management",42e330b5-4303-4a07-b9be-0a6a1ca5571a
2023-12-01,00:30:02,"You're Getting Kicked Out Of The Group Ride If You Do This - Newbie Questions With Sarah",5d321be7-a790-4b3b-bac3-01631c576fea
2023-11-28,00:37:14,"An Unforgettable World Record Expedition - Stevie and Laura's Tandem Adventure",63121cc8-8e06-4d02-9edb-62efc0de4952
2023-11-27,00:13:16,"Unlock The Secrets Of Peak Performance",8f360403-f85f-4e5f-a184-65a95a9b749e
2023-11-26,00:10:49,"How Quickly Do You Lose Fitness When You Take a Break from Training?",dcaee3fd-ccce-4949-bd10-6ff96e67e098
2023-11-24,00:26:45,"What’s the best rehab for a broken collarbone? - Newbie Questions With Sarah",b7844a5c-58d9-4931-9bae-ec69adfae74b
2023-11-22,00:06:10,"The 1% Illusion: Unmasking Fitness Trends and Rediscovering the 99%",8ea44f78-ef04-4cb4-9105-eea88e1f1c94
2023-11-20,00:11:41,"Behind the Scenes: The Evolution of a Podcast and a Stoic Mindset",14790c59-19ed-4cad-8bb9-a57b824003da
2023-11-19,00:10:49,"How Quickly Do You Lose Fitness When You Take a Break from Training?",dac50f56-ea8f-4083-87d6-1cb2098860af
2023-11-18,00:14:19,"Revolutionising Weight Loss With A Focus On Gut Biome",f7d0b437-a082-46cf-bd7a-16f7f7c45716
2023-11-17,00:24:44,"Ego Driven Cyclist On Group Rides & Losing Weight In The ""Off Season"" - Newbie Questions With Sarah",b9e185db-dfd4-41bc-8575-a6309a32ac84
2023-11-15,00:08:44,"Choosing Your Battles: Embracing Struggle and Defining What Matters",7d0da0ae-cf2a-4474-8b2c-c3b600aaaf4e
2023-11-13,00:08:47,"Identity Shifts And The Path To Personal Transformation",0ff0c8c0-1d60-41bc-821a-2cae60b14ae8
2023-11-11,00:17:37,"Beyond Fitness: How to never get dropped again",622086d5-bfa3-497f-a117-03b0bb215ae6
2023-11-10,00:22:46,"Winter Training: What's It All About? - Newbie Questions With Sarah",c0d74d93-278f-4a72-838a-53f2288048e7
2023-11-09,01:10:56,"A Cyclist's Guide to Conquering Life's Steep Climbs With Tom Danielson:",388c2d26-7549-4424-87a5-986742967a1e
2023-11-08,00:11:54,"The Roseto Effect & The Power of Community",be59faa6-7500-4db2-b0a9-a952a18fdff9
2023-11-07,00:36:26,"Two Wheels and a Thousand Stories: Chris Lee-Francis' Epic Ride",ddc99e4a-19ea-4c4f-9a63-16b4cf6b730f
2023-11-06,00:08:07,"Navigating Life's Lows: Stoic Wisdom for Getting Unstuck",03cccc07-9738-4d80-a4b3-126537e64390
2023-11-04,00:13:15,"Is My Bike Position WRONG? - Here's How To Tell",b4fcc0bb-178a-4a17-b412-6e0f6d7712c5
2023-11-03,00:10:54,"The Tour De France Femme 2024 Route - An Epic 8 Stages With Something For All Riders",78750f74-73a2-43f6-be4d-0fc75cba0c73
2023-11-03,00:11:14,"Reset Your Values & Choices & Live A Fulfilled Life - The Art Of Not Giving A F*ck",b4da87d0-1f24-4eeb-9ba6-5a1deae82e36
2023-11-02,00:47:13,"""Stress + Rest = Growth"" - Triathlon Great, Ben Hoffman Shares His Training Secrets",f682a34f-b9e5-4cc0-8860-7aeccf9ced3f
2023-11-01,00:08:34,"The Science of Cycling, Cortisol, and Body Fat",2e4cfbbf-a3d3-4e09-8cad-fc41fb4619d6
2023-10-31,00:48:12,"Redefining Performance: The Untold Secrets of Adaptive Capacity and Disease Prevention",2823b721-19a3-477e-983b-a95329bd10d4
2023-10-30,00:14:13,"The Two Stages You CAN NOT Miss - Tour de France Route 2024 Announced!",c9fd3c2f-0025-4bdc-8a61-9c0735a77f24
2023-10-30,00:24:12,"Worst & Most Embarrassing Crashes - Newbie Questions With Sarah",38458d69-9c47-4a20-b5cb-ef83b3d08a9f
2023-10-24,00:43:43,"The Hardest Race On Earth - The Tour Divide With Alex Howes",62949449-5581-457b-9c20-87f0e4e1d671
2023-10-21,00:17:54,"Planning, Equipment & Route Selection - Anthonys Bike Packing Week",5e80be23-f80f-45b0-9ee4-d9415017274a
2023-10-19,00:38:45,"Quitting Pro Cycling To Follow Her Real Path - Shannon Malseed",8dfc8ac5-7c5d-4356-8062-3bee1c1645db
2023-10-18,00:14:40,"Ugly Crying, Saddle Sores & Cycling Minimalism - Sarah's First Bike Packing Trip",400553bc-45b1-4656-8eba-ca28334790de
